,hc_specificity,dev_peak,aging_decline,conservation,gwas,sgn_specificity,score,TPS_FINAL
OTOF,0.5038432135709388,0.6909162799649899,0.3057476474205711,0.5,1.0,0.8430582,0.4468773394962018,0.6538100071773653
POU4F3,0.3135212666092382,0.7799231962842647,0.8946842378944302,0.5,1.0,0.509379,0.4985241911581956,0.6361194549237889
ESPNL,0.30609324099796986,0.5046215639155304,0.8809509198490549,0.5,1.0,0.65959585,0.4776996446557968,0.6068140930598553
GRXCR2,0.44594484817457763,0.7367151904815225,0.6636561391653758,0.5,1.0,0.34080195,0.4321055890702606,0.5988353034234841
CABP2,0.41047284565657,0.6861269366214237,0.307472600957938,0.5,1.0,0.657748,0.4186254295503331,0.5880377311649464
GIPC3,0.28617839995240596,0.9423598653197284,0.5147289204325239,0.5,1.0,0.29463306,0.4336896285772142,0.5604614431145462
USH2A,0.2997686661479203,0.5768227061131305,0.8002915535641222,0.5,1.0,0.42350137,0.4410098832061818,0.5600391481016206
TEX33,0.2980738683577716,0.8574124198583892,0.8995578054030673,0.5,0.0,0.6925793,0.3883692801191817,0.5343541752894694
CD5L,0.5148650977447479,0.9763198612601538,0.7353256065390215,0.5,0.0,0.3351615,0.3279533110394633,0.5270546425563083
TEKT1,0.46969376152143916,0.7408472328874067,0.858887844165182,0.5,0.0,0.5217812,0.339148714016811,0.5222669916586904
STRC,0.3586802585175854,0.8647602470855024,0.3110506942074943,0.5,1.0,0.180896,0.3744249467386862,0.5133929311035003
GFI1,0.4152536653092721,0.524126068330659,0.5230202096388641,0.5,1.0,0.2737797,0.3690640869700962,0.512610284704743
PAX3,0.0,0.7881351706011521,0.9677618919063156,0.5,1.0,0.29385245,0.4783918478618733,0.5115618079061778
MYO3A,0.09268655782841068,0.7198423945971432,0.3057476474205743,0.5,1.0,0.7185841,0.4325358746975825,0.511353413381038
MYO7A,0.376285419065022,0.5250407413372904,0.3057480633490279,0.5,1.0,0.47534016,0.3668401491650622,0.5088240154893189
PTPRQ,0.23301297440031338,0.5305307997622778,0.3057478033937442,0.5,1.0,0.68463594,0.3990537987844815,0.5087994107816112
OTOA,0.0,0.8366722231103698,0.3057474394563452,0.5,1.0,0.707076,0.4482872977082716,0.5046117605405258
ATOH1,0.22431866708660164,0.8481833865845586,0.3057477514026867,0.5,1.0,0.35511336,0.3972869175343739,0.5038171121532952
USH1G,0.004041967779715928,0.7388875224606756,0.8378329610980579,0.5,1.0,0.39087033,0.4660797171594896,0.5028391049907586
PLA2G4E,0.5582288771386861,0.7613273558991989,0.8110211966034748,0.5,0.0,0.29553616,0.3011083213060837,0.5004945458119668
CATIP,0.24419017213965624,0.9561768670736396,0.9866160126252989,0.5,0.0,0.43114483,0.3770164295242157,0.4987137929504196
ADGB,0.4330399143324029,0.8698662356964779,0.8370529737737684,0.5,0.0,0.3351615,0.3272330877254231,0.49647546750508176
SLC17A8,0.0,0.5950730201526,0.3057484792774827,0.5,1.0,0.9026161,0.4414458909359257,0.4954000959221424
DNAJC5B,0.4805098191300649,0.6258962796448556,0.3074494527316823,0.5,0.0,0.88660127,0.2939162764736106,0.49276987357774293
BTG4,0.27764528662215054,0.9577312732649786,0.9777315918638936,0.5,0.0,0.3351615,0.3615309940848353,0.48853187941922493
FCRL1,0.37948250202061673,0.8968067748898695,0.8520851381043554,0.5,0.0,0.3351615,0.3335441738473708,0.4880511762998122
DNAAF1,0.28473457209324643,0.6175599377583358,0.9370812285314604,0.5,0.0,0.68484896,0.3568424623992885,0.48646433545936013
CLRN1,0.2951853930732816,0.4665289554889956,0.3702559312650246,0.5,1.0,0.49112126,0.3701090794942183,0.4856240507095373
LHFPL5,0.05403384665952194,0.5730981298781664,0.6404002329235463,0.5,1.0,0.5432599,0.434426012911981,0.4855417949120219
CHRNA1,0.24754248748518323,0.6835654961915955,0.9095923732686886,0.5,0.0,0.68791425,0.363088704471344,0.48499755147417734
MYH14,0.0,0.956205721525452,0.3057479593669145,0.5,1.0,0.47446918,0.431528355515637,0.48199717421012755
TECTA,0.0,0.4762257962182211,0.9093048844161248,0.5,1.0,0.50147474,0.4539162584062752,0.4819358399060629
TMC1,0.22955702382456386,0.6765786213026965,0.3057484792774825,0.5,1.0,0.39746287,0.3778906560495204,0.4795376772995309
ESPN,0.23201983772526005,0.628610269837397,0.305747439456346,0.5,1.0,0.42934975,0.3754754697804874,0.47706007120350935
ESRRB,0.0,0.832119703344941,0.7513218685209371,0.5,1.0,0.2299482,0.4429444181666317,0.47511186094712876
TRIM55,0.004345191317233587,0.9867811335516375,0.7128122855061665,0.5,0.0,0.83946306,0.401814652176818,0.4734742389314226
TPH1,0.0,0.9714457291594292,0.9040067432459382,0.5,0.0,0.7106065,0.4088516578958048,0.4720114573187766
MORC1,0.3421684506135175,0.7896387954033642,0.9562027311581648,0.5,0.0,0.3351615,0.3330805428934854,0.47104100393845283
DAW1,0.5245297898334821,0.6259320693084108,0.7987076190971567,0.5,0.0,0.3351615,0.2848985781603702,0.46938379367630034
TRPM8,0.23196260041580294,0.957076586868481,0.9399490072594734,0.5,0.0,0.3351615,0.3557566632617908,0.4690287485873581
BSND,0.0,0.9419783397589896,0.4883278246128509,0.5,1.0,0.28505996,0.5107836809599873,0.46865683364372557
LGALS3,0.026513460441158883,0.9467626851981596,0.9119981116711424,0.5,0.0,0.6562775,0.3982008229515931,0.4653617919226509
KNCN,0.3386479463699466,0.5458331808567882,0.904877606537024,0.5,0.0,0.59119964,0.3272258292873723,0.4647325890628953
